a                   un                                      
spiky               puntiagudo                              
spillway            vertedero                               
spin                giro                                    
spinach             espinaca                                
spindle             eje                                     
spine               espina                                  
spineless           invertebrado                            
spinet              espineta                                
spinner             hilador                                 
spinning            hilado                                  
spinster            solterona                               
spiny               espinoso                                
spiral              espiral                                 
spire               espiral                                 
spirit              espíritu                                
spiritless          exánime                                 
spirits             alcohol                                 
spiritual           espiritual                              
spiritualism        espiritualismo                          
spiritualist        espiritualista                          
spirituality        espiritualidad                          
spirochete          espiroqueta                             
spirometer          espirómetro                             
spirometry          espirometría                            
spit                asador                                  
spite               rencor                                  
spiteful            rencoroso                               
spittle             saliva                                  
splatter            salpicadura                             
splay               extendido                               
spleen              bazo                                    
splendid            espléndido                              
splendor            esplendor                               
splenius            esplenio                                
splice              empalme                                 
splint              tablilla                                
splinter            astilla                                 
split               grieta                                  
splitting           fraccionamiento                         
splurge             faroleo                                 
splutter            balbuceo                                
spoil               despojo                                 
spoke               radio (de rueda)                        
spokesman           portavoz                                
spokesperson        portavoz                                
spoliation          expolio                                 
sponge              esponja                                 
spongy              esponjoso                               
sponsor             patrocinador                            
sponsoring          patrocinio                              
spontaneity         espontaneidad                           
spontaneous         espontáneo                              
spook               fantasma                                
spooky              espectral                               
spool               bobina                                  
spooler             bobinadora                              
spoon               cuchara                                 
spoonful            cucharada                               
sporadic            esporádico                              
spore               espora                                  
sport               deporte                                 
sporting            deportivo                               
sportive            juguetón                                
sportsman           deportista                              
sportswoman         mujer deportista                        
sporty              deportivo                               
spot                mancha                                  
spotless            limpio                                  
spotlight           reflector                               
spotted             manchado                                
spotting            detección                               
spouse              esposo                                  
spout               pico                                    
sprain              esguince                                
sprat               espadín                                 
spray               rocío                                   
sprayer             pulverizador                            
spread              cobertor                                
spreader            esparcidora                             
spreading           esparcido                               
spreadsheet         hoja de calculo                         
spree               parranda                                
sprig               pimpollo                                
sprightly           vivo                                    
spring              muelle                                  
springboard         trampolín                               
springy             elástico                                
sprinkle            rocío                                   
sprinkler           regador                                 
sprinkling          esparcido                               
sprite              duende                                  
sprocket            diente                                  
sprout              brote                                   
spruce              abeto                                   
spry                vivo                                    
spun                hilado                                  
spunk               coraje                                  
spunky              vivo                                    
spur                espuela                                 
spurdog             galludo                                 
spurious            espurio                                 
spurn               puntapié                                
spurt               borbotón                                
sputter             rociado                                 
spy                 espía                                   
squab               persona rechoncha                       
squabble            disputa                                 
squabbler           pendenciero                             
squad               escuadra                                
squadron            escuadrón                               
squalid             escuálido                               
squall              racha                                   
squally             borrascoso                              
squalor             mugre                                   
squandering         despilfarro                             
square              cuadrado                                
squarely            en ángulo recto                         
squash              calabaza                                
squatter            colonizador                             
squawk              graznido                                
squeal              chillar                                 
squeamish           aprensivo                               
squeeze             apretón                                 
squid               calamar                                 
squire              escudero                                
squirrel            ardilla                                 
squirt              chorro                                  
stabbing            puñalada                                
stability           estabilidad                             
stabilization       estabilización                          
stable              cuadra                                  
stack               pila                                    
stacking            apilamiento                             
stadium             estadio                                 
staff               empleados                               
stag                venado                                  
stage               fase                                    
stagecoach          diligencia                              
stagger             tambaleo                                
stagnant            estancado                               
stagnation          estancamiento                           
staid               serio                                   
stain               mancha                                  
stainless           limpio                                  
stair               escalón                                 
staircase           escalera                                
stairs              escalera                                
stairway            escalera                                
stake               estaca                                  
stalactite          estalactita                             
stalagmite          estalagmita                             
stale               rancio                                  
stalemate           empate                                  
stalk               pedúnculo                               
stall               establo                                 
stallion            semental                                
stalwart            acérrimo                                
stamen              estambre                                
stamina             aguante                                 
stammerer           tartamudo                               
stamp               sello (de correos)                      
stamped             estampillado                            
stampede            estampida                               
stamping            timbrado                                
stance              posición                                
stanchion           poste                                   
stand               caseta                                  
stand-by            en reserva activa                       
standard            estándar                                
standardization     normalización                           
standby             espera                                  
standing            lugar                                   
standpoint          punto de vista                          
stanza              estrofa                                 
staphyloccocia      estafilococia                           
staphylococcus      estafilococo                            
staple              grapa                                   
stapler             grapadora                               
starboard           estribor                                
starch              almidón                                 
starchy             almidonado                              
stardom             estrellato                              
starfish            estrella de mar                         
staring             llamativo                               
stark               severo                                  
starless            sin estrellas                           
starlet             actriz principiante                     
starlight           luz de las estrellas                    
starling            estornino                               
starred             estrellado                              
starry              estrellado                              
start               salida                                  
start-stop          arranque-parada                         
start-up            arranque                                
starter             iniciador                               
startling           sorprendente                            
startup             puesta en funcionamiento                
starvation          hambruna                                
starving            hambriento                              
state               estado                                  
stateless           sin estado                              
stateliness         majestuosidad                           
stately             majestuoso                              
statement           declaración                             
stateroom           camarote                                
statesman           estadista                               
static              estático                                
station             estación                                
stationary          estacionario                            
stationer           librero                                 
stationery          material de escritorio                  
stationmaster       jefe de estación                        
statistic           estadística                             
statistical         estadístico                             
statistician        estadístico                             
statistics          estadística                             
statuary            estatuario                              
statue              estatua                                 
statuesque          escultural                              
statuette           estatuilla                              
stature             altura                                  
status              estado                                  
statute             estatuto                                
staunch             fiel                                    
stead               lugar                                   
steadfast           firme                                   
steadily            firmemente                              
steadiness          firmeza                                 
steak               bistec                                  
stealing            hurto                                   
stealth             disimulo                                
stealthy            furtivo                                 
steam               vapor                                   
steamboat           buque de vapor                          
steamer             vapor                                   
steaming            humeante                                
steamship           buque de vapor                          
steamy              humeante                                
steed               corcel                                  
steel               acero                                   
steelwork           acería                                  
steely              acerado                                 
steelyard           romana (báscula)                        
steeple             aguja                                   
steeplechase        carrera de obstáculos                   
steer               novillo castrado                        
steerage            dirección                               
stellar             estelar                                 
stem                pedúnculo                               
stench              hedor                                   
stencil             plantilla                               
stenographer        taquígrafo                              
stenography         taquigrafía                             
step                incremento                              
stepbrother         hermanastro                             
stepchild           hijastro                                
stepdaughter        hijastra                                
stepfather          padrastro                               
stepladder          escalera de mano                        
stepmother          madrastra                               
steppe              estepa                                  
stereophonic        estereofónico                           
stereoscope         estereoscopio                           
stereotype          estereotipo                             
sterile             estéril                                 
sterility           esterilidad                             
sterilization       esterilización                          
sterilize           esterilizar                             
sterlet             esterleto                               
sterling            esterlina                               
stern               popa                                    
sternum             esternón                                
stethoscope         estetoscopio                            
stew                estofado                                
steward             mayordomo                               
stewardess          azafata                                 
stewed              estofado                                
stick               bastón                                  
sticker             pegatina                                
stickiness          tenacidad                               
sticking            pegajoso                                
stickler            problema peliagudo                      
sticky              pegajoso                                
stiff               tieso                                   
stiffness           rigidez                                 
stifling            ahogante                                
stigma              estigma                                 
still               todavía                                 
stillborn           nacido muerto                           
stillness           quietud                                 
stilt               zanco                                   
stilted             elevado                                 
stimulant           estimulante                             
stimulation         estímulo                                
stimulus            estímulo                                
sting               picadura                                
sting-ray           chucho                                  
stinginess          tacañería                               
stingy              tacaño                                  
stinker             hediondo                                
stinking            hediondo                                
stint               limitación                              
stipend             estipendio                              
stipulation         estipulación                            
stir                movimiento                              
stirrup             estribo                                 
stitch              puntada                                 
stitching           punto                                   
stoat               armiño                                  
stock               acción                                  
stockable           almacenable                             
stockade            empalizada                              
stockbreeder        ganadero                                
stockholder         accionista                              
Stockholm           Estocolmo                               
stocking            media                                   
stockman            ganadero                                
stockpile           reserva de existencias                  
stocky              rechoncho                               
stockyard           corral de ganado                        
stoic               estoico                                 
stoical             estoico                                 
stoker              fogonero                                
stole               estola                                  
stolid              estólido                                
stomach             estómago                                
stone               cálculo                                 
stoneware           gres                                    
stonework           obra de sillería                        
stool               taburete                                
stoop               inclinación                             
stop                alto                                    
stopcock            llave de paso                           
stopover            escala                                  
stoppage            obstrucción                             
stopper             tapón                                   
storage             almacenamiento                          
store               tienda                                  
storehouse          almacén                                 
storeroom           almacén                                 
stores              reservas                                
stork               cigüeña                                 
storm               tormenta                                
stormy              tormentoso                              
story               cuento                                  
stout               obstinado                               
stove               hornillo                                
stowage             almacenaje                              
straggler           paseante                                
straight            recto                                   
straighten          enderezar                               
straightforward     sincero                                 
straightness        rectitud                                
strain              colar                                   
strainer            colador                                 
strait              aprieto                                 
strand              cuerda                                  
strange             extraño                                 
stranger            desconocido                             
strangler           estrangulador                           
strangulation       estrangulación                          
strap               correa                                  
strapping           fuerte                                  
stratagem           estratagema                             
strategic           estratégico                             
strategist          estratega                               
strategy            estrategia                              
stratification      estratificación                         
stratosphere        estratosfera                            
stratum             estrato                                 
straw               paja                                    
stray               perdido                                 
streak              raya                                    
streaky             rayado                                  
stream              arroyo                                  
streamer            gallardete                              
streamline          perfil aerodinámico                     
streamlined         aerodinámico                            
streamlining        modernización                           
street              calle                                   
streetcar           tranvía                                 
streetwalker        prostituta                              
strength            fuerza                                  
strenuous           cansado                                 
streptococcus       estreptococo                            
streptomycin        estreptomicina                          
stress              esfuerzo                                
stretch             estiramiento                            
stretcher           camilla                                 
stria               estría                                  
striated            estriado                                
stricken            herido                                  
strict              estricto                                
strictly            estrictamente                           
stride              paso largo                              
stridency           estridencia                             
strident            estridente                              
strife              disputa                                 
strike              huelga                                  
striker             huelguista                              
striking            llamativo                               
strikingly          notablemente                            
string              cordón                                  
stringency          estrechez                               
stringent           severo                                  
strings             instrumentos de cuerda                  
stringy             correoso                                
strip               tira                                    
stripe              raya                                    
striped             rayado                                  
stripling           jovencito                               
stroke              golpe                                   
stroll              paseo                                   
stroller            paseante                                
strong              fuerte                                  
strong-minded       de espíritu independiente               
strongbox           caja fuerte                             
stronghold          fortaleza                               
strongly            fuertemente                             
strontium           estroncio                               
structural          estructural                             
structure           estructura                              
structuring         estructuración                          
struggle            forcejeo                                
strumpet            prostituta                              
strut               pavoneo                                 
Stuart              Estuardo                                
stub                cabo                                    
stubble             rastrojo                                
stubborn            terco                                   
stubby              rechoncho                               
stucco              estuco                                  
stud                montante                                
student             alumno                                  
studied             estudiado                               
studio              estudio                                 
studious            estudioso                               
stuff               material                                
stuffing            relleno                                 
stuffy              mal ventilado                           
stumble             tropiezo                                
stump               peana                                   
stunning            estupendo                               
stunted             achaparrado                             
stupefaction        estupefacción                           
stupendous          estupendo                               
stupid              tonto                                   
stupidity           estupidez                               
stupor              estupor                                 
sturdiness          firmeza                                 
sturdy              fornido                                 
sturgeon            esturión                                
stutterer           tartamudo                               
sty                 pocilga                                 
style               estilo                                  
stylish             elegante                                
stylist             estilista                               
stylistic           estilístico                             
stylus              aguja                                   
suave               suave                                   
suavity             suavidad                                
subconscious        subconsciente                           
subcontract         subcontrato                             
subcontractor       subcontratista                          
subcutaneous        hipodérmico                             
subdivision         subdivisión                             
subheading          subtítulo                               
subject             asunto                                  
subjection          sometimiento                            
subjective          subjetivo                               
subjectivity        subjetividad                            
subjugation         dominación                              
subjunctive         subjuntivo                              
sublimation         sublimación                             
sublime             sublime                                 
subliminal          subliminal                              
submarine           submarino                               
submergence         inmersión                               
submersible         sumergible                              
submersion          inmersión                               
submissive          sumiso                                  
subnet              subred                                  
subnormal           subnormal                               
subordinate         secundario                              
subordination       subordinación                           
subpoena            citación                                
subroutine          subprograma                             
subscribed          subscrito                               
subscriber          subscriptor                             
subscription        subscripción                            
subsection          subdivisión                             
subsequent          siguiente                               
subsequently        subsiguientemente                       
subservience        subordinación                           
subservient         subordinado                             
subset              subconjunto                             
subsidence          apaciguamiento                          
subsidiary          subsidiaria                             
subsidize           subvencionar                            
subsidy             subsidio                                
subsistence         subsistencia                            
subsoil             subsuelo                                
substance           substancia                              
substandard         de baja calidad                         
substantial         substancial                             
substantially       substancialmente                        
substantiation      prueba                                  
substantive         substantivo                             
substitute          suplente                                
substitution        sustitución                             
substrate           sustrato                                
substratum          substrato                               
subsystem           subsistema                              
subterfuge          subterfugio                             
subterranean        subterráneo                             
subtitle            subtítulo                               
subtle              sutil                                   
subtlety            sutileza                                
subtotal            subtotal                                
subtraction         substracción                            
suburb              suburbio                                
suburban            suburbano                               
subvention          subvención                              
subversion          subversión                              
subversive          subversivo                              
subvert             subvertir                               
subway              metro                                   
succeeding          siguiente                               
success             éxito                                   
successful          exitoso                                 
successfully        con buen éxito                          
succession          sucesión                                
successive          sucesivo                                
successor           sucesor                                 
succulent           suculento                               
such                tal                                     
sucker              mamón                                   
suckle              amamante                                
suckling            lactancia                               
sucrose             sacarosa                                
suction             succión                                 
sudation            sudación                                
sudden              súbito                                  
suddenly            de repente                              
suddenness          rapidez                                 
suds                espuma                                  
suede               ante                                    
suet                sebo                                    
sufferance          sufrimiento                             
sufferer            enfermo                                 
suffering           sufrimiento                             
sufficiency         lo suficiente                           
sufficient          suficiente                              
sufficiently        suficientemente                         
suffocating         sofocante                               
suffrage            sufragio                                
sugar               azúcar                                  
sugary              azucarado                               
suggested           propuesto                               
suggestible         sugerible                               
suggestion          sugerencia                              
suggestive          sugestivo                               
suicidal            suicida                                 
suicide             suicidio                                
suit                traje                                   
suitability         conveniencia                            
suitable            satisfactorio                           
suitcase            maleta                                  
suite               juego                                   
suitor              aspirante                               
sulfone             sulfona                                 
sulfur              azufre                                  
sulfuric            sulfúrico                               
sulfurous           sulfuroso                               
sulky               malhumorado                             
sullen              malhumorado                             
sulphate            sulfato                                 
sultan              sultán                                  
sultanate           sultanato                               
sultriness          bochorno                                
sultry              bochornoso                              
summary             resumen                                 
summation           suma                                    
summer              verano                                  
summing             adición                                 
summit              cima                                    
summon              citación                                
sun                 sol                                     
sunburn             quemadura del sol                       
sunburned           quemado por el sol                      
sunburnt            tostado por el sol                      
Sunday              domingo                                 
sundial             reloj de sol                            
sundown             puesta de sol                           
sundries            miscelánea                              
sundry              varios                                  
sunken              hundido                                 
sunlight            luz del sol                             
sunlit              iluminado por el sol                    
sunny               soleado                                 
sunrise             salida del sol                          
sunset              ocaso                                   
sunshade            sombrilla                               
sunshine            solana                                  
sunspot             mancha solar                            
sunstroke           insolación                              
suntan              bronceado                               
super               excelente                               
superabundance      superabundancia                         
superb              magnífico                               
supercargo          sobrecargo                              
supercilious        arrogante                               
superficial         superficial                             
superficiality      superficialidad                         
superfluity         superfluidad                            
superfluous         superfluo                               
superhuman          sobrehumano                             
superintendence     superintendencia                        
superintendent      superintendente                         
superior            superior                                
superiority         superioridad                            
superlative         superlativo                             
superman            superhombre                             
supermarket         supermercado                            
supernatural        sobrenatural                            
supernumerary       supernumerario                          
superstition        superstición                            
superstitious       supersticioso                           
supervision         supervisión                             
supervisory         de supervisión                          
supinatur           supinador                               
supper              cena                                    
supple              suave                                   
supplement          suplemento                              
supplementary       suplementario                           
supplicant          suplicante                              
supplication        súplica                                 
supplier            proveedor                               
supply              aprovisionamiento                       
support             apoyo                                   
supportable         soportable                              
supporter           partidario                              
supposed            supuesto                                
supposedly          supuestamente                           
supposition         suposición                              
suppository         supositorio                             
suppression         supresión                               
suppuration         supuración                              
suprapubic          supra púbico                            
supremacy           supremacía                              
supreme             supremo                                 
supremely           sumamente                               
supurative          supurativo                              
surcharge           sobrecarga                              
sure                seguro                                  
surely              ciertamente                             
sureness            seguridad                               
surety              seguridad                               
surf                surf                                    
surface             superficie                              
surfboard           tabla de surf                           
surfer              navegante (en Internet)                 
surgeon             cirujano                                
surgery             cirugía                                 
surgical            quirúrgico                              
surmise             conjetura                               
surname             apellido                                
surpassing          superior                                
surplus             excedente                               
surprise            sorprender                              
surprised           sorprendido                             
surprisingly        sorprendentemente                       
surrender           rendición                               
surreptitious       subrepticio                             
surrogate           sustituto                               
surround            rodear                                  
surrounding         circundante                             
surroundings        alrededores (plural)                    
surtax              impuesto suplementario                  
surveillance        vigilancia                              
survey              estudio                                 
surveying           topografía                              
surveyor            agrimensor                              
survival            supervivencia                           
survivor            superviviente                           
susceptibility      susceptibilidad                         
susceptible         susceptible                             
suspect             sospechoso                              
suspenders          ligas (plural)                          
suspense            suspense                                
suspension          suspensión                              
suspensory          suspensorio                             
suspicion           sospecha                                
suspicious          sospechoso                              
suspiciously        sospechosamente                         
sustenance          sustento                                
suture              sutura                                  
swab                estropajo                               
swaddle             envoltura                               
swag                bulto                                   
swagger             jactancia                               
swain               zagal                                   
swallow             golondrina                              
swallowtail         cola de golondrina                      
swamp               pantano                                 
swampy              pantanoso                               
swan                cisne                                   
swap                cambio                                  
swapping            alternancia                             
swarm               enjambre                                
swarthy             moreno                                  
swash               chorro                                  
swashbuckler        fanfarrón                               
swastika            esvástica                               
swat                golpe repentino                         
swath               andana                                  
swathe              venda                                   
swather             agavilladora                            
sway                oscilación                              
swearing            juramento                               
sweat               sudor                                   
sweater             suéter                                  
sweaty              sudado                                  
Swede               sueco                                   
Sweden              Suecia                                  
Swedish             sueco                                   
sweeper             barrendero                              
sweeping            barrido                                 
sweepstakes         concurso de azar                        
sweet               dulce                                   
sweetbread          lechecillas                             
sweeten             endulzar                                
sweetheart          novio                                   
sweetish            ligeramente dulce                       
sweetly             dulcemente                              
sweetmeat           golosina                                
